Duration (in seconds),Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,UserLanguage,Q_RecaptchaScore,Q0_ProlificID,Q1,Q2,Q3,Q4,Q4_5_TEXT,Q5,Q6,Q7,Q7_4_TEXT,Q8,Q8_5_TEXT,Q9,Q9_9_TEXT,Q10_1,Q11,Q11_7_TEXT,Q12,Q13,Q13_7_TEXT,Q14,Q15,Q16 ,Q17,Q17_1_TEXT,Q18,Q19,Q20,Q21,Q21_5_TEXT,Q22,Q23,Q24,Q24_4_TEXT,Q25,Q25_5_TEXT,Q26,Q26_9_TEXT,Q27_1,Q28,Q28_7_TEXT,Q29,Q30,Q30_7_TEXT,Q31,Q32,Q33,Q34,Q34_1_TEXT,Q35,Q36,Q37,Q38,Q39_1,Q40_1
833,True,7/21/25 16:54,R_85tOgGWgVrJTmKt,"38,7219","-9,1398",EN,"0,6000000238",5d779a30f80b9e00165b3772,Yes,"Last time I talked about cybersecurity was with my mother. She was scammed in whatsapp by someone who was acting as me.. He asked for money to buy a new phone and to pay some bills. Luckily she acted quickly with my help. Although the money transfer was made, She was able to retrieve everything after a month or so..",2,Other (please specify),Family,Other,No,At home,,"Personal experience (e.g., cybersecurity incident),News story or social media post,Someone asked for advice",,"Application areas (web browsing, smartphone, social media etc.),Identity theft or fraud,Phishing or scams",,4,"Interested/curious,Worried/anxious,Annoyed",,Because it was a large sum of money and it was a relative of me who was scammed,"Worried/anxious,Annoyed,Helpful/responsible",,Because it was a large sum of money and it was a relative of me who was scammed,Yes,Always have a backup question only relatives could know before doing any type of thing. Also distrust everyone first,"No, but I plan to have one in the future",,No,,,,,,,,,,,,,,,,,,,,,,,,41,Male,Portugal,Musician,4,5 (Strongly agree)
517,True,7/21/25 17:03,R_8LifcJviG0ZCvKx,"45,0729","7,689",EN,"0,8000000119",65d0c176113325527b73866a,Yes,I was with a friend of mine and a university professor at the univeristy bar. We talked about the potential risks of cars connected to the internet and the possbile ways of hacking them. The conversation started with a question from my firend to the professor and lasted about 30 minutes.,2,"Friend,Other (please specify)",professor,Other,No,Workplace/University,,News story or social media post,,"Incidents (ransomware attack, data breach, leak, device theft etc.)",,3,Interested/curious,,Because it's a topic that is rarely discussed,"Interested/curious,Confident/informed",,Because he works in cybersecurity,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,,30,Male,Italy,ICT,4,5 (Strongly agree)
456,True,7/22/25 13:53,R_2tyELBFpi5iDKc1,"59,4381","24,7369",EN,"0,8999999762",5730f0a7dd6617000ed945c9,Yes,"My online friend was telling me on Discord how they lost a lot of their files because they forgot the password to one of the accounts on their pc. The files weren't backed up. I am unsure of the details but they were unable to recover access to that account. I recommended they start using a password manager and start backing up their files. It was a short conversation, maybe 15 minutes at most. The topic was brought up because we were supposed to do something together but they had spent the whole day scrambling to find a solution. ",1,Friend,,Other,No,Other (please specify),online,"Personal experience (e.g., cybersecurity incident)",,"Security tools (password managers, antivirus, VPN etc.)",,3,"Interested/curious,Helpful/responsible",,because it's my friend and i wanted to help them,Worried/anxious,,they were in trouble due to the incident,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,30,Female,estonia,IT,3,5 (Strongly agree)
348,True,7/22/25 13:53,R_8j84vSi8qaRlmyz,"53,1328","23,1677",EN,"0,8999999762",5eb2a99596070102a65d32c7,Yes,"I talked about it with my grandmother at her house. We talked about how she could protect herself from being scammed. It was basically triggered by some kind of weird facebook bait link, talking about something crazy happening, but being actually scam link that is trying to force you into logging into your facebook account. It last for about 30 minutes.",1,Other (please specify),Family member,Other,No,At home,,"Personal experience (e.g., cybersecurity incident)",,"Application areas (web browsing, smartphone, social media etc.),Phishing or scams",,5 (Strongly agree),"Worried/anxious,Helpful/responsible",,"I was worried whether she could understand what I'm trying to tell her, and responsible, because I feel like I'm the most skilled person in that area in my family, so I think I'm the only one who can help her with cybersecurity.",Interested/curious,,Because she was trying to understand it thoroughly and make sure she understands everything correctly.,Yes,I think she's no longer affected by those scam ads or links.,"No, but I plan to have one in the future",,No,,,,,,,,,,,,,,,,,,,,,,,,29,Male,Poland,IT Developer,4,5 (Strongly agree)
492,True,7/22/25 13:53,R_8uwCQmW6vIqde3D,"52,5204","13,339",EN,"0,8000000119",6427fca3b9cdc2513dbb5469,Yes,"1. My colleague
2. In our office
3. About phishing emails that we as a company get from time to time
4. She got a suspicious email and asked me about it
5. 10-15 Min
6. I explained to her how to recognize phishing emails and what might happen if she does not follow the rules",1,Colleague,,Other,No,Workplace/University,,"Work/school-related requirement,Someone asked for advice",,Phishing or scams,,4,"Confident/informed,Helpful/responsible",,Because I realized that I can teach someone and give very useful info,"Interested/curious,Confident/informed",,She asked me because she was interested about it and I saw that she understood what I have said,Yes,She is now more cautious about those emails,,,No,,,,,,,,,,,,,,,,,,,,,,,,29,Female,Germany,QA Engineer,4,5 (Strongly agree)
333,True,7/22/25 13:54,R_8YAoV0LlrVUYE7O,"53,5764","10,0474",DE,"0,8999999762",646219bb0b91a6f3327e39fb,Yes,"Ich habe mit meiner Freundin am Telefon über einen Zeitungsartikel gesprochen, in welchem ein Mann die Sparkasse verklagt hat. Durch einen Scam wurden ihm 60.000€ vom Konto gestohlen, die Bank trug allerdings eine Mitschuld wegen der fehlerhaften Umsetzung von 2FA. Da ich in der IT arbeite, habe ich ihr daraufhin noch einmal nahegelegt, bei allen wichtigen Diensten die 2FA einzuschalten.",1,Friend,,Myself,No,At home,,News story or social media post,,"Application areas (web browsing, smartphone, social media etc.),Phishing or scams,Security behavior (choice of passwords, updating software etc.),Security tools (password managers, antivirus, VPN etc.)",,4,"Interested/curious,Confident/informed,Helpful/responsible",,"Ich arbeite in der IT und kenne mich berufsbedingt mit Sicherheitsrichtlinien aus, weshalb ich mir recht sicher bin, gute Tipps geben zu können.","Interested/curious,Confident/informed",,"Meine Freundin ist tendenziell interessiert an IT, allerdings arbeitet sie in einem völlig anderen Bereich.",,,,,No,,,,,,,,,,,,,,,,,,,,,,,,34,Female,Deutschland,Software Architect,3,5 (Strongly agree)
424,True,7/22/25 13:54,R_2lArFPsgD989G0h,"64,7472","20,9529",EN,"0,8000000119",659d6e799b20c6ef26f1cb86,Yes,I talked to my mom 2 weeks ago. What triggered the conversation was that we were discussing about shady websites and emails. My mom getting an email from a canadian telecompany. We talked for 15 min. ,1,Other (please specify),Mother,Other,No,At home,,"Personal experience (e.g., cybersecurity incident),Someone asked for advice",,"Application areas (web browsing, smartphone, social media etc.),Phishing or scams",,4,Worried/anxious,,I was worried that she had to pay something cause it was a real company the email came from but i talked to the canadian company and they said they had gotten the wrong email.,Worried/anxious,,She was very very worried cause she didn't want to have to pay for something,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,,27,Female,Sweden,Unemployed,3,5 (Strongly agree)
445,True,7/22/25 13:55,R_8n2ee2La04KYe7I,"52,459","6,0104",EN,"0,8999999762",605f856a958ba27c0300c200,Yes,"1) A friendly neighbour
2) At my home
3) We talked about using Generative AI such as CoPilot when writing some text
4) A conversation item that society has changed so rapidly 
5) 8 minutes
6) We talked about the danger that such innovations can do to society",2,Acquaintance,,Other,No,At home,,"Personal experience (e.g., cybersecurity incident)",,"Application areas (web browsing, smartphone, social media etc.)",,3,"Interested/curious,Worried/anxious",,ASs Generative AI can be helpful in some cases it can also pose a threat as it goes to far,Confident/informed,,He think he always knows better and wants other people to think that he has knowledge about everything,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,49,Female,The Netherlands,Tourism,2,5 (Strongly agree)
356,True,7/22/25 13:55,R_8tLLNqgT0xZZcR6,"51,7583","14,3251",DE,"0,8999999762",66af675aa4d5c6018d03c4da,Yes,"Es war ein Aufklärunggespärch in der Uni in einem Hörsaal, wo der gesamte Campus eingeladen war. Der Auslöser war ein Hack Angriff auf die Uni und das Gespräch dauerte ca. 60 Minuten. Wurden generell Infos mitgeteilt insbesondere über Phishing Mails",300,Other (please specify),Uni ,Other,,Workplace/University,,News story or social media post,,"Application areas (web browsing, smartphone, social media etc.),Incidents (ransomware attack, data breach, leak, device theft etc.),Phishing or scams,Security behavior (choice of passwords, updating software etc.)",,2,"Interested/curious,Worried/anxious,Confident/informed",,Unsicherheit,"Interested/curious,Worried/anxious,Annoyed",,"gleichen Gründen wie ich, Unsicherheit",Yes,zwie faktor Authorisieurng,,,No,,,,,,,,,,,,,,,,,,,,,,,,21,Female,Deutschland,Kostümbild,2,5 (Strongly agree)
483,True,7/22/25 13:55,R_8QEIZprrwBgZosA,"49,2362","6,9701",EN,"0,8000000119",66684fa4e234291b73426ec5,Yes,"The last time I talked about cybersecurity was in a conversation with my mother at her home. I should note that we're both not very knowledgeable about the topic. She was concerned that someone had access to her Google account since she repeatedly saw the car of a relative she's had issues with in the past at locations she visited when doing chores (at the doctor's office, while visiting the bank, at the grocery store). We arrived at the conclusion that she should ask an expert in the field instead of relying on me since I was out of my depth.",1,Other (please specify),Family Member,Other,No,At home,,"Personal experience (e.g., cybersecurity incident),Someone asked for advice",,"Incidents (ransomware attack, data breach, leak, device theft etc.),Privacy tools (permission manager, cookie banners etc.),Surveillance or data collection (government, companies etc.)",,1 (Strongly disagree),Worried/anxious,,I felt worried since my mother was deeply concerned about her safety.,Worried/anxious,,I think the other person felt this way because they were deeply concerned about their safety.,No,,"Yes, I had (How many?)",10,No,,,,,,,,,,,,,,,,,,,,,,,,23,Male,Germany,University Student: Information Technology and Electrical Engineering,2,5 (Strongly agree)
104,True,7/22/25 13:57,R_8k7nwPw2jJryDMD,"48,0089","7,8464",EN,"0,8000000119",679299d956001e394d39e60a,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,Female,Germany,Germany,3,5 (Strongly agree)
459,True,7/22/25 13:57,R_2fHrY8UudJdqDFq,"48,069","11,6125",DE,"0,8000000119",66ebc8c5e5b772065830754d,Yes,"Schulung auf der Arbeit in Person, wir haben darüber gesprochen, was Auslöser / ursachen etc von Cybersicherheit sein können. Es war verpflichtend, hat 45min gedauert und hat dabei geholfen, dieses Thema in den Fokus zu rücken",8,Colleague,,Other,"Yes, a stranger",Workplace/University,,Work/school-related requirement,,"Application areas (web browsing, smartphone, social media etc.),Identity theft or fraud,Incidents (ransomware attack, data breach, leak, device theft etc.),Phishing or scams,Security behavior (choice of passwords, updating software etc.),Security tools (password managers, antivirus, VPN etc.)",,2,Interested/curious,,ist ein interessantes Thema,Interested/curious,,auch für andere interessant,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,,29,Female,Deutschland,Biologie,2,5 (Strongly agree)
420,True,7/22/25 13:57,R_8JIRLlVxFOaUPe6,"50,0765","19,9374",EN,"0,200000003",65be47c43d1e8c9147ac8a18,Yes,"I was speaking with my colleague about the recent cyberattacks in Russo-Ukrainian war. The conversation took place in our company office. I was mentioning the russian cyberattack on Ukrainian power grind back in 2015, were two regions were affected by the cyberattack. We were discussing certifications and a topic of security was brought up and we were discussing cybersecurity in more details, how it impacts many aspects of life. I think we were discussing this for 20 minutes.",1,Colleague,,Myself,No,Workplace/University,,News story or social media post,,"Incidents (ransomware attack, data breach, leak, device theft etc.)",,4,"Interested/curious,Confident/informed",,It was an interesting topic about which I knew enough to start the converstation.,Interested/curious,,My colleague is interested in cybersecurity topic and he was involved in the converstation.,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,,31,Male,Poland,IT consultant,2,5 (Strongly agree)
391,True,7/22/25 13:57,R_8aOSCnZR4EApaTv,"51,1134","10,6407",DE,"0,8000000119",5a74e93feea3d300016dd8ca,Yes,"Vor einigen Monaten erhielt ein Freund von mir eine Email in der behauptet wurde, ein Konto von ihm sei gehackt worden und er müsse einen Link aufrufen und ein neues Passwort erstellen. Wir waren uns relativ schnell sicher, dass es sich dabei um Phishing handelte, also haben wir ein kurzes Gepräch darüber geführt in dem ich ihm erklärte, was das genau ist, da er sich damit nicht so auskennt. Ich habe ihm auch gezeigt, wie man eine zweistufe Verifizierung einrichtet und ihm einen speziellen Passwordmanager empfohlen. das Gespräch hat etwa 15 Minuten gedauert.",1,Friend,,Other,No,At home,,Someone asked for advice,,"Identity theft or fraud,Phishing or scams,Security behavior (choice of passwords, updating software etc.),Security tools (password managers, antivirus, VPN etc.)",,5 (Strongly agree),"Confident/informed,Helpful/responsible",,"Ich bin alleine durch meine Arbeit recht bewandert in dem Gebiet, daher habe ich mich informiert und auch hilfreich gefühlt.","Interested/curious,Worried/anxious",,"Er war besorgt wegen der Email die er erhielt, gleichzeitig aber auch neugierig über das, was was ich ihm erzählte.",Yes,Er benutzt nun einen Passwordmanager und die zweistufe Verifizierung,"No, but I plan to have one in the future",,No,,,,,,,,,,,,,,,,,,,,,,,,35,Male,Deutschland,Informatiker,5 (Strongly agree),5 (Strongly agree)
749,True,7/22/25 13:59,R_8HnqQKdR2hzLHfZ,"52,3834","16,843",EN,"0,8000000119",5de42a01a7cb2401ccc682c3,Yes,"I was talking with my cousing because there was a breach in her facebook account. I had a request from ""her"" to pay for her shopping but on messanger. I called my cousin she said that her account were hacked and that she clicked on wrong pishing site and her facebook data was stolen. It was somewhere like 1 month ago. After that i called my mom and sister to tell her that Kinga's (my cousing name) facebook account was stolen and to do not fall for a payment scam scheme. ",3,Other (please specify),family,Myself,No,"Public space (e.g., café, train)",,"Personal experience (e.g., cybersecurity incident)",,"Identity theft or fraud,Incidents (ransomware attack, data breach, leak, device theft etc.),Phishing or scams",,4,"Worried/anxious,Annoyed",,I was kind of sissapointed in my cousin - because she fall for a simple scam and worried about my mom because she is kind of old and do not understand scams so i had to protect her.,Worried/anxious,,Was ashamed because she caused a problem and overall make poor decision to trust some pishing sites.,Yes,My cousin is now more aware and alert about pishing scams.,,,No,,,,,,,,,,,,,,,,,,,,,,,,35,Male,Poland,Call  Center Manager,3,5 (Strongly agree)
720,True,7/22/25 13:59,R_25FmRMggtFufKQ9,"37,9842","23,7353",EN,"0,5",5c59479c2cda3d0001cead5d,Yes,"I work in IT at a government service and there was a call that my colleague (also IT) answered. It was another colleague that was concerned about an e-mail she received. The e-mail was claiming to have been sent by the Police and it stated that a fine had been issued due to the receiver's visits to illegal web pages. Of course, this was a phising e-mail, but our colleague was concerned.
After reassuring her that it was a fake, we gave her some quick tips on how to detect e-mail frauds.
After she hang up the phone, me and my IT colleague continued our conversation about how many of our colleagues cannot easily identify fake e-mails.
The whole conversation lasted about 30mins",2,Colleague,,Other,No,Workplace/University,,"Personal experience (e.g., cybersecurity incident),Someone asked for advice",,Phishing or scams,,5 (Strongly agree),"Interested/curious,Confident/informed,Helpful/responsible",,"I am very interested in matters of cyber security and how to protect ourselves. I have also attended some seminars about detecting fraud and/or phising via e-mail. I am always interested in the ""tricks"" that are used on those ocasions.",Worried/anxious,,The colleague that called was anxious because she thought she had done something wrong and that the e-mail might be real,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,,38,Female,Greece,IT and programming,5 (Strongly agree),5 (Strongly agree)
771,True,7/22/25 14:01,R_88Yb21k279jB2cU,"48,1475","11,5865",DE,"0,8000000119",66283d9da33f3d5231de7e21,Yes,"Das war tatsächlich erst gestern. Eine Arbeitskollegin und ich haben uns über Passwörter für das Mitarbeiterportal ausgetauscht, in diesem können wir zum Beispiel unsere Gehaltsabrechnung einsehen, Anträge stellen.

Meine Kollegin saßen dabei im Büro gegenüber. Begonnen hat das Gespräch damit, dass sie erwähnt hat, dass sie das Passwort ändern musste. Ich frage warum und sie meinte, man müsse dies alle paar Jahre ändern. Zum Hintergrund: die Kollegin ist länger als ich in unserer Behörde tätig, bei mir kam dieser Zeitpunkt zur Änderung noch nicht.
Ich stöhnte und meinte, ich hatte schon extreme Schwierigkeiten ein Passwort zu finden, was den Anforderungen der Seite genügte. Der Gedanke daran, dass ich mit dann wieder ein neues Passwort ausdenken muss, den fand ich frustrierend und sagte dies ich der Kollegin. Sie äußerte Verständnis und sagte, sie schreibt sich dieses Passwort in ein Worddokument.

Nach zwei Minuten circa war das Gespräch dann beendet und wir gingen weiter unserer Arbeit nach.",1,Colleague,,Other,No,Workplace/University,,Work/school-related requirement,,"Security behavior (choice of passwords, updating software etc.)",,2,"Interested/curious,Annoyed",,"Interessiert, weil ich wissen wollte, was die Kollegin dazu sagt - und genervt, weil ich am liebsten einfache Passwörter verwenden will. Das Thema ist frustrierend.",Interested/curious,,Die Kollegin unterhält sich sehr gerne und ist an anderen Menschen und Meinungen interessiert.,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,,35,Male,Deutschland,Sachbearbeiter ,3,5 (Strongly agree)
708,True,7/22/25 14:01,R_2OcC3xrjIc5tdj6,"48,069","11,6125",DE,"0,400000006",66d07c4598239f725fa002b6,Yes,"Es finden regelmäßig Arbeitssicherheitsunterweisungen in der Datensicherheit und Cybersecurity statt. Die Gespräch finden in der Firma statt. Gesprochen wir über Datenschutz, Identitätsdiebstahl, Passwortschutz, etc, Datensicherheit, Datenpannen. Auslöser ist, dass immer wieder Vorfälle bei verschiedenen Unternehmen stattfinden. Die Schulungen und Gespräche dauern unterschiedlich lang, meist zw. 30 u. 60 Minuten. ",20,Colleague,,Other,"Yes, somebody I know",Workplace/University,,Work/school-related requirement,,"Application areas (web browsing, smartphone, social media etc.),Identity theft or fraud,Incidents (ransomware attack, data breach, leak, device theft etc.),Phishing or scams,Privacy tools (permission manager, cookie banners etc.),Security behavior (choice of passwords, updating software etc.),Security tools (password managers, antivirus, VPN etc.),Surveillance or data collection (government, companies etc.)",,4,Interested/curious,,wichtiges Thema,Interested/curious,,auch für andere wichtig,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,,31,Male,Deutschland,Controlling,3,5 (Strongly agree)
606,True,7/22/25 14:02,R_8DCtu2E976AROJH,"54,5143","18,5294",EN,"0,8999999762",5fb1bda4dc80b7701dea5a79,Yes,"I was talking about cybersecurity with my mom. I was talking on a phone with her, how much AI is scary and it is so easy to make a lot of pictures without my permission with using just my face. I don't remember what triggered the conversation, we were talking about computer or something, that's why it started I guess. 
We didn't talk a lot about that, just more like oh it is scares me, oh true it is real problem and that's it. Usually I don't talk about cybersecurity with my friends. 

Sometimes I talk with my boyfriend about bots and spam that influence social media for example about war in Ukraine etc.",1,Other (please specify),Mom,,No,Other (please specify),At home on the phone,Other (please specify),I don't remember,"Identity theft or fraud,Phishing or scams",,4,Worried/anxious,,"This topic is so scary, because I think whenever I will learn how thiefs are working they will find new way to scam me","Interested/curious,Worried/anxious",,My mom is interested in this topics because she want to be smart and doesn't wanna be scammed by people. But also she was anxious how many scams are out there in the world,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,26,Female,Poland,Japanese studies,4,5 (Strongly agree)
964,True,7/22/25 14:02,R_8tyv8DCSiveUfYd,"50,6375","3,0542",EN,"0,8999999762",67d146b94afb279ab2a9caea,Yes,"I talk with a friend , it was in his home , we talk about cybersecurity on banking applications, sometimes we received fake emails with exactly the design of the bank internet site or with the design of sites like paypal but it's fake, my friend show me an example of this on his smartphone.
We talked thirty minutes about this.
I said that on the fake site there are a lot of spelling mistakes but my friend sais that now there is no mistakes.
My friend also said that now with the I A all the conversations could be listened and recorded if the smartphone is open so now he close his smartphone when he talks about confidentials matters",1,Friend,,Myself,No,At home,,"Personal experience (e.g., cybersecurity incident)",,"Application areas (web browsing, smartphone, social media etc.),Incidents (ransomware attack, data breach, leak, device theft etc.),Phishing or scams,Surveillance or data collection (government, companies etc.)",,4,"Interested/curious,Confident/informed",,because the subject interested me,"Interested/curious,Confident/informed",,"for the same reason, he is iterested by the subject",No,,,,No,,,,,,,,,,,,,,,,,,,,,,,,62,Female,France,geograply,3,5 (Strongly agree)
466,True,7/22/25 14:03,R_2zhGnPTHtiHx5Am,"41,4473","2,2521",EN,"0,8999999762",5dcdd11e8f1e3b02ff99dddc,Yes,"I was talking with my roommate in our living room about how the phone is eavesdropping us, it took place beacuse we were talking about a certain topic, and minutes later, we saw post of this topic on social media, it lasted less than 2 minutes.",1,Friend,,Other,No,At home,,News story or social media post,,"Application areas (web browsing, smartphone, social media etc.),Privacy tools (permission manager, cookie banners etc.),Surveillance or data collection (government, companies etc.)",,4,"Worried/anxious,Annoyed",,Because apparently our data is getting used without our consent.,"Worried/anxious,Annoyed",,For the same reason.,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,,26,Male,Spain,Psychology,1 (Strongly disagree),5 (Strongly agree)
858,True,7/22/25 14:03,R_2E1j3dEDSxECI6W,"51,1184","17,0177",EN,"0,8000000119",5bb7aae585ac1e000108c7f6,Yes,"i talked to my friend about cybersecurity. I talked about setting the moste secure password possible. The more letters, numbers and special characters., the better.  Its  also best to write down these passwords in your head, instead of on a piece of paper.",1,Friend,,Myself,No,At home,,"Personal experience (e.g., cybersecurity incident),News story or social media post",,"Security behavior (choice of passwords, updating software etc.)",,4,"Confident/informed,Helpful/responsible",,I have fallen victim to data fraud more than once,Interested/curious,,dont know,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,40,Female,poland,socjology,3,4
1124,True,7/22/25 14:04,R_27p4Smp61BdHhQu,"52,5304","17,6009",EN,"0,8000000119",5c63df3877ef7900010475ab,Yes,"Today, we discussed about why Wordfence Plugin was disabled. We as consumer questioned vendor why it was disabled. It was disabled because something was not working on website, but vendor didn't informed us about it. We concluded taht prior to actions he must informed us. ",4,"Acquaintance,Stranger",,Myself,"Yes, somebody I know",Workplace/University,,"Personal experience (e.g., cybersecurity incident)",,"Application areas (web browsing, smartphone, social media etc.),Incidents (ransomware attack, data breach, leak, device theft etc.),Security behavior (choice of passwords, updating software etc.)",,5 (Strongly agree),"Interested/curious,Worried/anxious,Confident/informed,Annoyed",,Unnecessery work due to not obey rules. ,"Worried/anxious,Annoyed",,Because that was their fault,Yes,we established new rules.,,,No,,,,,,,,,,,,,,,,,,,,,,,,45,Male,Poland,IT CyberSec Manager,5 (Strongly agree),5 (Strongly agree)
659,True,7/22/25 14:04,R_2imOqqEeYKQRNMV,"37,1692","-3,5764",EN,"0,8999999762",6686a6fa1b81f0919733a7a6,Yes,"My partner and I recently in a call, talking about nation security in Spain, the topic of the last electricity shutdown appeared. Which not only affected Spain, but also the nearest countries around it. It lasted about thirty minutes since we talked about what happened, how we felt and also what would we do in the future is something like this ever happened again. The shutdown left everyone without electricity, and also without being able to communicate with people. ",1,Other (please specify),My partner ,Myself,No,At home,,"Personal experience (e.g., cybersecurity incident),News story or social media post",,"Incidents (ransomware attack, data breach, leak, device theft etc.),Security behavior (choice of passwords, updating software etc.),Other (please specify)",Future attacks on the country,4,"Worried/anxious,Annoyed",,"Because the shutdown lasted for almost a day, which made everyone anxious. That's why remembering the incident causes me to feel that way ",Worried/anxious,,"I believe because of the same reason as me, since he was also in the country the moment it happened. ",,,"No, but I plan to have one in the future",,"Yes, I’d like to describe another conversation","A city I always visit and from where I'm from suffered a ciberattack, stealing the administration data from the whole city. My parents and I were talking about how there was no plan B to an attack like that and how little protection of our data were used there. It lasted for about 15 minutes, since it was a short conversation. We then move on about how our data was probably sold not only from that ciberattack, but thoughtout phones. ",2,Other (please specify),Parents ,Other,No,At home,,"Personal experience (e.g., cybersecurity incident)",,"Incidents (ransomware attack, data breach, leak, device theft etc.),Surveillance or data collection (government, companies etc.)",,4,Worried/anxious,,Because my data was stolen and probably sold ,Worried/anxious,,I believe they felt the same as me since their data was stolen too,No,,,,22,Female,Spain,Education,3,5 (Strongly agree)
820,True,7/22/25 14:05,R_84cmyCzbcgasel0,"47,5","19,0412",EN,"0,1000000015",5c2e546b23477600011a4dba,Yes,"Me and my friend talked about a situation briefly a couple of days ago in a cafe. He mentioned that his company recently sent out.a ""suspicious"" e-mail to all of their colleagues and some of his colleagues have failed this check. 
This e-mail contained a button/link they had to follow and if you did, then you failed. This was some sort of attention check the company does with them, they want to make sure that the employees do not follow unauthorized link and fishing e-mails. This happens from time to time, a few times in a year. The message looks like a genuine message where the colleague ask to follow a link - there are a few hints to know if the message is a fake one. 

He mentioned that he had failed once so he tries to keep his eyes more open. 

I think it might be a good solution and beneficial to teach the people to not clicking on every e-mail, no matter what the content say as they could install viruses easily. ",1,Friend,,Other,No,"Public space (e.g., café, train)",,"Personal experience (e.g., cybersecurity incident)",,Phishing or scams,,4,Interested/curious,,"I haven't really heard similar tests from other friends or relatives, so I was curious.",Confident/informed,,"He passed the test, there wasn't anything to worry about. ",No,,,,No,,,,,,,,,,,,,,,,,,,,,,,,38,Female,Hungary,IT,3,5 (Strongly agree)
1286,True,7/22/25 14:07,R_2NQOHfBGjVbD0Pv,"52,1661","5,2795",EN,"0,8999999762",657767d604c0e2c2af826611,Yes,"Actually I had a conversation about cybersecurity with a colleague yesterday, because of the temporary close down of some network and cloud facilities on our work. This is being done because of a newly found vulnerability in Microsoft onedrive. We talked for ten minutes on how we feel about these vulnerabilities and how our company is at risk and being affected.",4,Colleague,,Myself,No,Workplace/University,,Work/school-related requirement,,"Application areas (web browsing, smartphone, social media etc.),Incidents (ransomware attack, data breach, leak, device theft etc.),Security behavior (choice of passwords, updating software etc.)",,2,"Interested/curious,Worried/anxious,Confident/informed",,"I feel like I have sufficient information to understand the threat and know how to mitigate it, but the constant cyberattacks make us vulnerable as a society.","Interested/curious,Worried/anxious",,I felt the level of knowledge of my colleagues was lacking.,,,,,"Yes, I’d like to describe another conversation","I talked with my father and sister about password management and how to keep your accounts safe. The conversation happened a couple of weeks ago at my home when we met. There was no specific trigger, it is a recurring subject for my father. The conversation lasted 15 minutes and we exchanged tips.",2,Acquaintance,,Other,No,At home,,"News story or social media post,Someone asked for advice",,"Incidents (ransomware attack, data breach, leak, device theft etc.),Privacy tools (permission manager, cookie banners etc.),Security tools (password managers, antivirus, VPN etc.)",,5 (Strongly agree),"Confident/informed,Helpful/responsible",,It was among family and my knowledge on the subject is good.,"Interested/curious,Worried/anxious",,My sibblings have less profound knowledge on technnology,Yes,I have installed a new password manager,"No, but I plan to have one in the future",,48,Male,Netherlands,Public administration,4,5 (Strongly agree)
466,True,7/22/25 14:08,R_2rjESsvBPRYg4F3,"48,9478","2,1879",EN,"0,8999999762",6100b7d1d121da73b60c7b6e,Yes,"few days ago i was chatting with a friend over coffee and we ended up talking about htat big data leak from ticketmaster. He mentioned how account got flagged and he wasn't sure his info was safe, we talk ed about how crazy it is that even huge comapnies get hacked, the converstation about this subject lasted maybe 10 minutes and he adviced me to change my passwords regularly because you can never trust even the big tech companies themselves",2,"Friend,Colleague",,Other,No,Workplace/University,,"Personal experience (e.g., cybersecurity incident),News story or social media post",,Identity theft or fraud,,5 (Strongly agree),"Interested/curious,Worried/anxious,Annoyed",,its scary how fragile our data is,"Worried/anxious,Annoyed",,he was annoyed the way he spoke about his experience,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,,27,Male,france,Information system manager,4,5 (Strongly agree)
750,True,7/22/25 14:08,R_2IaWiM4DKFjgEkz,"37,9842","23,7353",EN,"0,6000000238",66031000461c44484ac359a8,Yes,I talked with my relatives about the increase in scamming and how careful you must be when you are online. Unfortunately my relative lost a lot of money because scammers found him and with the help of anydesk were stealing all of his money. He doesn't understand a lot regarding the technology and they convinced him that they will help him earn money. He also sent them his indentity ID. We talked with him and we are not sure how we can help him or how we can retrieve at least some of his money. I wish there was a way to protect people who aren't so familiar with the technology especially elderly people and kids. ,4,Friend,,Myself,"Yes, somebody I know",At home,,"Personal experience (e.g., cybersecurity incident),News story or social media post",,"Application areas (web browsing, smartphone, social media etc.),Identity theft or fraud,Phishing or scams",,3,Worried/anxious,,because I didn't know information about specifically happened and how I can help him.,Worried/anxious,,because he started to realize that he fell victim of a scam,Yes,"unistalled unknown apps, including anydesk. gave him advice that he should not open links or answer to unknown calls.","Yes, I had (How many?)",4,No,,,,,,,,,,,,,,,,,,,,,,,,25,Male,Greece,healthcare,3,5 (Strongly agree)
